route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
860040,20163511multiint-0000010,48941346-20163511multiint-0000010,"Maizerets (Nord)",,0,,00400418,2
860040,20163511multiint-0000010,48941364-20163511multiint-0000010,"Place Jacques-Cartier (Sud)",,1,,00400419,2
860110,20163511multiint-0000010,48941439-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,01100048,2
860110,20163511multiint-0000010,48941401-20163511multiint-0000010,"Place D'Youville / Vieux-Québec (Est)",,0,,01100065,2
860870,20163511multiint-0000010,48939343-20163511multiint-0000010,"Sainte-Foy Centre (Sud)",,1,,08700621,2
860930,20163511multiint-0000010,48940830-20163511multiint-0000010,"Sainte-Foy Centre/Univ.Laval/Cégep Garneau (Sud)",,1,,09300314,2
860770,20163511multiint-0000010,48940587-20163511multiint-0000010,"Terminus Les Saules (Sud)",,1,,07700022,2
860770,20163511multiint-0000010,48940606-20163511multiint-0000010,"Val-Bélair (Nord)",,0,,07700021,2
860750,20163511multiint-0000010,48939438-20163511multiint-0000010,"Sainte-Foy Centre (Sud)",,1,,07500214,2
860930,20163511multiint-0000010,48940836-20163511multiint-0000010,"Champigny (Nord)",,0,,09300294,2
860800,20163511multiint-0000010,48940664-20163511multiint-0000010,"Place Jacques-Cartier (Sud)",,1,,08000372,2
869316,20163511multiint-0000010,48941322-20163511multiint-0000010,"Lac-Saint-Charles (Nord)",,0,,93160007,2
860640,20163511multiint-0000010,48940534-20163511multiint-0000010,"Lebourgneuf (Nord)",,0,,06400129,2
860520,20163511multiint-0000010,48940305-20163511multiint-0000010,"Du Bourg-Royal (Est)",,0,,05200033,2
860580,20163511multiint-0000010,48940448-20163511multiint-0000010,"Terminus Beauport (Sud)",,1,,05800179,2
860580,20163511multiint-0000010,48940454-20163511multiint-0000010,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,05800006,2
860580,20163511multiint-0000010,48940449-20163511multiint-0000010,"Terminus Beauport (Sud)",,1,,05800179,2
860440,20163511multiint-0000010,49002023-20163511multiint-0000010,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,04400013,2
860540,20163511multiint-0000010,48940361-20163511multiint-0000010,"Terminus Beauport / Vieux-Québec (Sud)",,1,,05400408,2
860530,20163511multiint-0000010,48940332-20163511multiint-0000010,"Montmorency / Courville (Est)",,0,,05300214,2
860250,20163511multiint-0000010,48941486-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,02500033,2
860250,20163511multiint-0000010,48941469-20163511multiint-0000010,"Place D'Youville / Gare du Palais (Est)",,0,,02500029,2
860110,20163511multiint-0000010,48941449-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,01100048,2
860110,20163511multiint-0000010,48941411-20163511multiint-0000010,"Place D'Youville / Vieux-Québec (Est)",,0,,01100065,2
860110,20163511multiint-0000010,49002015-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,01100212,2
860440,20163511multiint-0000010,48940248-20163511multiint-0000010,"Terminus Beauport (Sud)",,1,,04400106,2
860440,20163511multiint-0000010,49002022-20163511multiint-0000010,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,04400013,2
860550,20163511multiint-0000010,48940425-20163511multiint-0000010,"Terminus Beauport (Sud)",,1,,05500341,2
868014,20163511multiint-0000010,48941137-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868014,20163511multiint-0000010,48941064-20163511multiint-0000010,"Charlesbourg (Est)",,0,,80140018,1
868014,20163511multiint-0000010,48941147-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868014,20163511multiint-0000010,48941074-20163511multiint-0000010,"Charlesbourg (Est)",,0,,80140018,1
868014,20163511multiint-0000010,48941157-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868014,20163511multiint-0000010,48941084-20163511multiint-0000010,"Charlesbourg (Est)",,0,,80140018,1
868074,20163511multiint-0000010,48939719-20163511multiint-0000010,"Place D'Youville (Est)",,0,,80740009,1
868074,20163511multiint-0000010,48939799-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
